,Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year
604,Little Fockers,2010-12-22,2010,12,171123980,148438600,Comedy,Universal,25
605,The Incredible Hulk,2008-06-13,2008,6,171043311,134806913,Adventure,Universal,25
606,John Wick: Chapter 3 — Parabellum,2019-05-17,2019,5,171015687,171015687,Action,Lionsgate,25
607,Free Willy,1993-07-16,1993,7,170974503,77698625,Adventure,Warner Bros.,23
608,Stepmom,1998-12-25,1998,12,170912610,91137662,Drama,Sony/TriStar,24
609,Jason Bourne,2016-07-29,2016,7,170818203,162192920,Action,Universal,25
610,Kong: Skull Island,2017-03-10,2017,3,170675713,168052812,Adventure,Warner Bros.,25
611,Wanted,2008-06-27,2008,6,170664745,134508551,Action,Universal,25
612,Black Hawk Down,2001-12-28,2001,12,170367276,108638745,Action,Sony Pictures,25
613,Mr. Holland’s Opus,1995-12-29,1995,12,170214210,82582604,Drama,Walt Disney,24
614,Teenage Mutant Ninja Turtles II: The …,1991-03-22,1991,3,170205118,78656813,Adventure,New Line,23
615,While You Were Sleeping,1995-04-21,1995,4,169753882,81057016,Romantic Comedy,Walt Disney,24
616,Splash,1984-03-09,1984,3,169726606,62599495,Comedy,Walt Disney,23
617,Hotel Transylvania,2012-09-28,2012,9,169688945,148313048,Adventure,Sony Pictures,25
618,Congo,1995-06-09,1995,6,169681248,81022333,Adventure,Paramount Pictures,24
619,Les Misérables,2012-12-25,2012,12,169224417,148809770,Musical,Universal,25
620,Walk the Line,2005-11-18,2005,11,169019187,119519402,Drama,20th Century Fox,25
621,Spy Kids 3-D: Game Over,2003-07-25,2003,7,168842062,111760631,Adventure,Miramax/Dimension,25
622,Popeye,1980-12-12,1980,12,168731548,49823037,,Paramount Pictures,22
623,Enchanted,2007-11-21,2007,11,168663934,127706877,Romantic Comedy,Walt Disney,25
624,We're the Millers,2013-08-07,2013,8,168522802,150394119,Comedy,Warner Bros.,25
625,Backdraft,1991-05-24,1991,5,168499471,77868585,Drama,Universal,23
626,Star Trek: Generations,1994-11-18,1994,11,168377616,75671262,Adventure,Paramount Pictures,23
627,Divergent,2014-03-21,2014,3,168315212,150947895,Adventure,Lionsgate,25
628,X-Men: First Class,2011-06-03,2011,6,168194158,146408305,Action,20th Century Fox,25
629,Witness,1985-02-08,1985,2,168169507,65532576,Thriller/Suspense,Paramount Pictures,23
630,American Hustle,2013-12-13,2013,12,167850292,150098456,Black Comedy,Sony Pictures,25
631,Dodgeball: A True Underdog Story,2004-06-18,2004,6,167716029,114326736,Comedy,20th Century Fox,25
632,San Andreas,2015-05-29,2015,5,167709188,155190832,Adventure,Warner Bros.,25
633,Bee Movie,2007-11-02,2007,11,167559109,126631277,Adventure,Paramount Pictures,25
634,The Village,2004-07-30,2004,7,167526468,114197520,Thriller/Suspense,Walt Disney,25
635,Hotel Transylvania 3: Summer Vacation,2018-07-13,2018,7,167500092,167500092,Adventure,Sony Pictures,25
636,Disney’s A Christmas Carol,2009-11-06,2009,11,167424190,137855863,Drama,Walt Disney,25
637,White Men Can't Jump,1992-03-27,1992,3,167390884,76253806,Comedy,20th Century Fox,23
638,Neighbors,2014-05-09,2014,5,167355045,150086800,Comedy,Universal,25
639,Star Trek Beyond,2016-07-22,2016,7,167295758,158848340,Adventure,Paramount Pictures,25
640,The Last Samurai,2003-12-05,2003,12,166939875,111110575,Action,Warner Bros.,25
641,Freaky Friday,2003-08-06,2003,8,166519950,110222438,Comedy,Walt Disney,25
642,Scary Movie 3,2003-10-24,2003,10,166166728,110000082,Comedy,Miramax/Dimension,25
643,Everest,1998-03-06,1998,3,166080219,87178599,Documentary,MacGillivray Freeman Films,24
644,The Last of the Mohicans,1992-09-25,1992,9,165762727,75505856,Action,20th Century Fox,23
645,Mad Max: Fury Road,2015-05-15,2015,5,165573293,153636354,Action,Warner Bros.,25
646,Knives Out,2019-11-27,2019,11,165363254,165363254,Drama,Lionsgate,25
647,Get Smart,2008-06-20,2008,6,165349306,130319208,Comedy,Warner Bros.,25
648,The Break-Up,2006-06-02,2006,6,165097223,118703275,Romantic Comedy,Universal,25
649,Rio,2011-04-15,2011,4,164990727,143619809,Adventure,20th Century Fox,25
650,The Smurfs,2011-07-29,2011,7,163835424,142614158,Adventure,Sony Pictures,25
651,X-Men: Apocalypse,2016-05-27,2016,5,163708786,155442489,Action,20th Century Fox,25
652,The Haunting,1999-07-23,1999,7,163529702,91188905,Horror,Dreamworks SKG,23
653,Road to Perdition,2002-07-12,2002,7,163156037,104054514,Drama,Dreamworks SKG,25
654,The X Files: Fight the Future,1998-06-19,1998,6,162966658,83898313,Action,20th Century Fox,24
655,The Prince of Tides,1991-12-25,1991,12,162928542,74787599,Drama,Sony Pictures,23
656,Beetlejuice,1988-03-30,1988,3,162531847,73839613,Comedy,Warner Bros.,23
657,The Great Gatsby,2013-05-10,2013,5,162299651,144840419,Drama,Warner Bros.,25
658,The Blue Lagoon,1980-06-20,1980,6,162299542,47923795,Drama,Universal,22
659,Turner & Hooch,1989-07-28,1989,7,162290232,71079915,Comedy,Walt Disney,23
660,Star Trek VI: The Undiscovered Country,1991-12-06,1991,12,162181741,74888996,Action,Paramount Pictures,23
661,Angels & Demons,2009-05-15,2009,5,162007193,133375846,Thriller/Suspense,Sony Pictures,25
662,The Grudge,2004-10-22,2004,10,161895933,110359362,Horror,Sony Pictures,25
663,Trolls,2016-11-04,2016,11,161746693,153707064,Adventure,20th Century Fox,25
664,Ace Ventura: Pet Detective,1994-02-04,1994,2,161250116,72217396,Comedy,Warner Bros.,23
665,Vanilla Sky,2001-12-14,2001,12,161131941,100614858,Thriller/Suspense,Paramount Pictures,25
666,Daddy’s Home,2015-12-25,2015,12,160933570,150357137,Comedy,Paramount Pictures,25
667,Superbad,2007-08-17,2007,8,160832841,121463226,Comedy,Sony Pictures,25
668,How to Train Your Dragon: The Hidden …,2019-02-22,2019,2,160799508,160799505,Adventure,Universal,25
669,The Pacifier,2005-03-04,2005,3,160607278,113006880,Comedy,Walt Disney,25
670,The Italian Job,2003-05-30,2003,5,160332994,106126012,Adventure,Paramount Pictures,25
671,Unbreakable,2000-11-22,2000,11,160164067,94999143,Thriller/Suspense,Walt Disney,24
672,Never Say Never Again,1983-10-07,1983,10,160138723,55500000,Action,Warner Bros.,23
673,Taken 2,2012-10-05,2012,10,160045728,139854287,Thriller/Suspense,20th Century Fox,25
674,The Big Chill,1983-09-28,1983,9,159949299,56077501,Comedy,Sony Pictures,23
675,How to Lose a Guy in 10 Days,2003-02-07,2003,2,159851822,105807520,Romantic Comedy,Paramount Pictures,25
676,The King’s Speech,2010-11-26,2010,11,159584343,138797449,Drama,Weinstein Co.,25
677,Father of the Bride Part II,1995-12-08,1995,12,159569202,76578911,Comedy,Walt Disney,24
678,Fantastic Beasts: The Crimes of Grind…,2018-11-16,2018,11,159555902,159555901,Adventure,Warner Bros.,25
679,The Verdict,1982-12-08,1982,12,159488032,53977250,Drama,20th Century Fox,23
680,Stargate,1994-10-28,1994,10,159420472,71565669,Action,MGM,23
681,Halloween,2018-10-19,2018,10,159347015,159347015,Horror,Universal,25
682,1917,2019-12-25,2019,12,159227644,159227644,Thriller/Suspense,Universal,25
683,The Curious Case of Benjamin Button,2008-12-25,2008,12,159174120,127509326,Drama,Paramount Pictures,25
684,National Lampoon's Christmas Vacation,1989-12-01,1989,12,159089825,71319546,Comedy,Warner Bros.,23
685,Urban Cowboy,1980-06-06,1980,6,158894270,46918287,Drama,Paramount Pictures,22
686,The Secret Life of Pets 2,2019-06-07,2019,6,158874395,158874395,Adventure,Universal,25
687,Reds,1981-12-04,1981,12,158607341,50000000,Drama,Paramount Pictures,23
688,I Now Pronounce You Chuck and Larry,2007-07-20,2007,7,158531582,119725280,Comedy,Universal,25
689,21 Jump Street,2012-03-16,2012,3,158449519,138447667,Comedy,Sony Pictures,25
690,The English Patient,1996-11-15,1996,11,158375200,78716374,Drama,Miramax,24
691,Braveheart,1995-05-24,1995,5,157928892,75545647,Drama,Paramount Pictures,24
692,American Wedding,2003-08-01,2003,8,157656184,104354205,Comedy,Universal,25
693,The Goonies,1985-06-07,1985,6,157538018,62254058,Adventure,Warner Bros.,23
694,Hairspray,2007-07-20,2007,7,157401532,118871849,Musical,New Line,25
695,Daddy Day Care,2003-05-09,2003,5,157345834,104148781,Comedy,Sony Pictures,25
696,Entrapment,1999-04-30,1999,4,157286291,87707396,Thriller/Suspense,20th Century Fox,23
697,Blades of Glory,2007-03-30,2007,3,157034345,118594548,Comedy,Paramount Pictures,25
698,The Secret of My Success,1987-04-10,1987,4,156093209,66995000,Comedy,Universal,23
699,Groundhog Day,1993-02-12,1993,2,156029594,70906973,Romantic Comedy,Sony Pictures,23
700,The Wedding Singer,1998-01-12,1998,1,155871754,80245725,Romantic Comedy,New Line,24
701,Grumpy Old Men,1993-12-25,1993,12,155745435,70172621,Comedy,Warner Bros.,23
702,Fun With Dick And Jane,2005-12-21,2005,12,155583131,110550000,Comedy,Sony Pictures,25
703,The 40 Year-old Virgin,2005-08-19,2005,8,155551091,109449237,Comedy,Universal,25
704,The Others,2001-08-10,2001,8,155357185,96522687,Horror,Miramax,25
705,Legally Blonde,2001-07-13,2001,7,155310086,96493426,Comedy,MGM,25
706,Cars 3,2017-06-16,2017,6,155287530,152901115,Adventure,Walt Disney,25
707,Ocean's Thirteen,2007-06-08,2007,6,155114248,117144465,Adventure,Warner Bros.,25
708,Argo,2012-10-12,2012,10,155057156,136025503,Thriller/Suspense,Warner Bros.,25
709,Daredevil,2003-02-14,2003,2,154920633,102543518,Action,20th Century Fox,25
710,La La Land,2016-12-09,2016,12,154747653,151101803,Musical,Lionsgate,25
711,3 Men and a Little Lady,1990-11-21,1990,11,154652645,71609321,Comedy,Walt Disney,23
712,The Conjuring,2013-07-19,2013,7,153962516,137400141,Horror,Warner Bros.,25
713,Boomerang,1992-07-01,1992,7,153777766,70052444,Comedy,Paramount Pictures,23
714,Pokemon: The First Movie,1999-11-10,1999,11,153595948,85744662,Adventure,Warner Bros.,23
715,Ghost Rider,2007-02-16,2007,2,153337443,115802596,Action,Sony Pictures,25
716,Bird on a Wire,1990-05-18,1990,5,153225044,70978012,Action,Universal,23
717,JFK,1991-12-20,1991,12,153197723,70405498,Drama,Warner Bros.,23
718,"Me, Myself & Irene",2000-06-23,2000,6,153080104,90570999,Romantic Comedy,20th Century Fox,24
719,Stakeout,1987-08-05,1987,8,153013592,65673233,Comedy,Walt Disney,23
720,City of Angels,1998-04-10,1998,4,152968178,78750909,Drama,Warner Bros.,24
721,Gandhi,1982-12-08,1982,12,152881615,52767889,Drama,Sony Pictures,23
722,Space Cowboys,2000-08-04,2000,8,152860316,90454043,Adventure,Warner Bros.,24
723,Alvin and the Chipmunks: Chipwrecked,2011-12-16,2011,12,152761372,133107389,Adventure,20th Century Fox,25
724,Down and Out in Beverly Hills,1986-01-31,1986,1,152572176,62134225,Comedy,Walt Disney,23
725,The Cat in the Hat,2003-11-21,2003,11,152544745,101018283,Adventure,Universal,25
726,Uncle Buck,1989-08-16,1989,8,152423628,66758538,Comedy,Universal,23
727,Four Christmases,2008-11-26,2008,11,152335662,120146040,Comedy,Warner Bros.,25
728,Charlie's Angels: Full Throttle,2003-06-27,2003,6,152308213,100814328,Action,Sony Pictures,25
729,Terminator Salvation,2009-05-21,2009,5,152225030,125322469,Action,Warner Bros.,25
730,The Last Airbender,2010-07-01,2010,7,152147604,131772187,Adventure,Paramount Pictures,25
731,Lethal Weapon,1987-03-06,1987,3,151893171,65192350,Action,Warner Bros.,23
732,Cool Runnings,1993-10-01,1993,10,151717412,68856263,Adventure,Walt Disney,23
733,Born on the Fourth of July,1989-12-20,1989,12,151712328,70001698,Drama,Universal,23
734,Cloudy with a Chance of Meatballs,2009-09-18,2009,9,151639412,124870275,Adventure,Sony Pictures,25
735,Kung Fu Panda 3,2016-01-29,2016,1,151161346,143528619,Adventure,20th Century Fox,25
736,Conspiracy Theory,1997-08-08,1997,8,151077115,76118990,Thriller/Suspense,Warner Bros.,24
737,Spies Like Us,1985-12-06,1985,12,151010448,59526202,Adventure,Warner Bros.,23
738,Get Shorty,1995-10-20,1995,10,150732220,72021008,Comedy,MGM,24
739,Identity Thief,2013-02-08,2013,2,150720541,134506920,Comedy,Universal,25
740,America's Sweethearts,2001-07-20,2001,7,150665352,93607673,Romantic Comedy,Sony Pictures,25
741,Scream 3,2000-02-04,2000,2,150658228,89138076,Horror,Miramax,24
742,Cats & Dogs,2001-07-04,2001,7,150291095,93375151,Comedy,Warner Bros.,25
743,Grown Ups 2,2013-07-12,2013,7,149781081,133668525,Comedy,Sony Pictures,25
744,The Bridges of Madison County,1995-06-02,1995,6,149727123,71516617,Drama,Warner Bros.,24
745,Ride Along,2014-01-17,2014,1,149643247,134202565,Comedy,Universal,25
746,Panic Room,2002-03-29,2002,3,149442198,95308367,Thriller/Suspense,Sony Pictures,25
747,War for the Planet of the Apes,2017-07-14,2017,7,149172606,146880162,Action,20th Century Fox,25
748,The Shining,1980-05-23,1980,5,149069991,44568631,Horror,Warner Bros.,22
749,Silver Linings Playbook,2012-11-16,2012,11,148845457,132092958,Drama,Weinstein Co.,25
750,The Wolverine,2013-07-26,2013,7,148535407,132556852,Action,20th Century Fox,25
751,The Witches of Eastwick,1987-06-12,1987,6,148532501,63749955,Comedy,Warner Bros.,23
752,Grumpier Old Men,1995-12-22,1995,12,148426242,71518503,Romantic Comedy,Warner Bros.,24
753,The Emperor's New Groove,2000-12-15,2000,12,147823260,89296573,Adventure,Walt Disney,24
754,Shutter Island,2010-02-19,2010,2,147807072,128012934,Thriller/Suspense,Paramount Pictures,25
755,Hot Shots!,1991-07-31,1991,7,147723342,68267322,Comedy,20th Century Fox,23
756,Mortal Kombat,1995-08-18,1995,8,147503317,70433227,Action,New Line,24
757,Dirty Dancing,1987-08-21,1987,8,147295509,63892689,Drama,Vestron,23
758,The Aviator,2004-12-17,2004,12,147273089,102608827,Drama,Miramax,25
759,Field of Dreams,1989-04-21,1989,4,147110794,64431625,Drama,Universal,23
760,Collateral,2004-08-06,2004,8,146948481,100170152,Action,Dreamworks SKG,25
761,Inglourious Basterds,2009-08-21,2009,8,146700872,120774594,Action,Weinstein Co.,25
762,Rio 2,2014-04-11,2014,4,146672594,131538435,Adventure,20th Century Fox,25
763,Save the Last Dance,2001-01-12,2001,1,146529804,91038276,Drama,Paramount Pictures,25
764,The Horse Whisperer,1998-05-15,1998,5,146427344,75383563,Drama,Walt Disney,24
765,Maid in Manhattan,2002-12-13,2002,12,146278386,93932896,Romantic Comedy,Sony Pictures,25
766,Payback,1999-02-05,1999,2,146201370,81526121,Action,Paramount Pictures,23
767,Super 8,2011-06-10,2011,6,145902653,127004179,Thriller/Suspense,Paramount Pictures,25
768,Nine Months,1995-07-12,1995,7,145887185,69660733,Comedy,20th Century Fox,24
769,Red Dragon,2002-10-04,2002,10,145752812,92955420,Thriller/Suspense,Universal,25
770,Broken Arrow,1996-02-09,1996,2,145607471,70645997,Action,20th Century Fox,24
771,First Blood,1982-10-22,1982,10,145464235,47212904,Action,Orion Pictures,23
772,The Meg,2018-08-10,2018,8,145443746,145443742,Action,Warner Bros.,25
773,Wolf,1994-06-17,1994,6,145161054,65011757,Thriller/Suspense,Sony Pictures,23
774,G-Force,2009-07-24,2009,7,145075866,119436770,Adventure,Walt Disney,25
775,Two Weeks Notice,2002-12-20,2002,12,144975092,93354918,Romantic Comedy,Warner Bros.,25
776,Prometheus,2012-06-08,2012,6,144749519,126477084,Thriller/Suspense,20th Century Fox,25
777,Bolt,2008-11-21,2008,11,144487515,114053579,Adventure,Walt Disney,25
778,Working Girl,1988-12-20,1988,12,144413742,63800000,Comedy,20th Century Fox,23
779,Safe House,2012-02-10,2012,2,144411383,126181630,Thriller/Suspense,Universal,25
780,"Six Days, Seven Nights",1998-06-12,1998,6,144398920,74339294,Romantic Comedy,Walt Disney,24
781,Pokémon: Detective Pikachu,2019-05-10,2019,5,144105346,144105346,Adventure,Warner Bros.,25
782,The Fox and the Hound,1981-07-10,1981,7,143856830,43899231,Adventure,Walt Disney,23
783,The Godfather: Part III,1990-12-25,1990,12,143714058,66520529,Drama,Paramount Pictures,23
784,I Know What You Did Last Summer,1997-10-17,1997,10,143321171,72250091,Horror,Sony Pictures,24
785,Grand Canyon: The Hidden Secrets,1984-06-16,1984,6,143157136,52800000,Documentary,,23
786,The Vow,2012-02-10,2012,2,143075101,125014030,Drama,Sony Pictures,25
787,Million Dollar Baby,2004-12-15,2004,12,142872176,100492203,Drama,Warner Bros.,25
788,Anchorman 2: The Legend Continues,2013-12-18,2013,12,142669451,127413176,Comedy,Paramount Pictures,25
789,The Toy,1982-12-10,1982,12,142569414,47118057,Comedy,Sony Pictures,23
790,Once Upon a Time…in Hollywood,2019-07-26,2019,7,142502728,142502728,Thriller/Suspense,Sony Pictures,25
791,Life of Pi,2012-11-21,2012,11,142231779,124987022,Drama,20th Century Fox,25
792,Cold Mountain,2003-12-25,2003,12,142207237,95632614,Drama,Miramax,25
793,Outbreak,1995-03-10,1995,3,142039704,67823573,Thriller/Suspense,Warner Bros.,24
794,The Scorpion King,2002-04-19,2002,4,142028189,90580000,Action,Universal,25
795,Police Academy 2: Their First Assignment,1985-03-29,1985,3,142005760,55337042,Comedy,Warner Bros.,23
796,Firefox,1982-06-18,1982,6,141873437,45785720,Action,Warner Bros.,23
797,Rango,2011-03-04,2011,3,141851327,123477607,Adventure,Paramount Pictures,25
798,The Talented Mr. Ripley,1999-12-24,1999,12,141499326,81292135,Drama,Paramount Pictures,23
799,Into the Woods,2014-12-25,2014,12,141452728,128002372,Musical,Walt Disney,25
800,The Nightmare Before Christmas,1993-10-13,1993,10,141447745,75069160,Musical,Walt Disney,23
801,Master and Commander: The Far Side of…,2003-11-14,2003,11,141423840,93926386,Adventure,20th Century Fox,25
802,Cheech & Chong's Next Movie,1980-07-18,1980,7,141137923,41675194,Comedy,Universal,22
803,Lucy,2014-07-25,2014,7,141136930,126573960,Action,Universal,25
804,A Fish Called Wanda,1988-07-15,1988,7,140735088,63493000,Comedy,MGM,23
805,The Divergent Series: Insurgent,2015-03-20,2015,3,140679872,130179072,Action,Lionsgate,25
806,Antarctica,1991-10-18,1991,10,140653198,65000000,Documentary,,23
807,The Peanuts Movie,2015-11-06,2015,11,140625759,130178411,Adventure,20th Century Fox,25
808,Scent of a Woman,1992-12-23,1992,12,140561971,63895607,Drama,Universal,23
809,District 9,2009-08-14,2009,8,140471627,115646235,Thriller/Suspense,Sony Pictures,25
810,Shazam!,2019-04-05,2019,4,140371656,140371656,Action,Warner Bros.,25
811,Split,2017-01-20,2017,1,140297635,138141585,Horror,Universal,25
812,Tropic Thunder,2008-08-13,2008,8,140222077,110515313,Comedy,Paramount Pictures,25
813,Ocean’s 8,2018-06-08,2018,6,140218715,140218711,Action,Warner Bros.,25
814,Heat,1995-12-15,1995,12,140203929,67436818,Drama,Warner Bros.,24
815,Tango & Cash,1989-12-22,1989,12,139802443,63408614,Action,Warner Bros.,23
816,The Princess Diaries 2: Royal Engagement,2004-08-11,2004,8,139583147,95149435,Romantic Comedy,Walt Disney,25
817,Lone Survivor,2013-12-25,2013,12,139490270,125095601,Action,Universal,25
818,Dreamgirls,2006-12-15,2006,12,139342369,103365956,Musical,Paramount Pictures,25
819,Legends of the Fall,1994-12-23,1994,12,139340010,66502573,Drama,Sony Pictures,23
820,The Fault in Our Stars,2014-06-06,2014,6,139239545,124872350,Drama,20th Century Fox,25
821,The Four Seasons,1981-05-22,1981,5,139232785,42488161,Comedy,Universal,23
822,Dave,1993-05-07,1993,5,139226126,63270710,Comedy,Warner Bros.,23
823,Waiting to Exhale,1995-12-22,1995,12,139180275,66947948,Drama,20th Century Fox,24
824,Predator,1987-06-12,1987,6,139179237,59735548,Action,20th Century Fox,23
825,Rising Sun,1993-07-30,1993,7,138840071,63095271,Drama,20th Century Fox,23
826,Kingsman: The Secret Service,2015-02-13,2015,2,138607867,128261724,Action,20th Century Fox,25
827,Bedtime Stories,2008-12-25,2008,12,138367909,110101975,Adventure,Walt Disney,25
828,Harlem Nights,1989-11-17,1989,11,138313358,60857262,Comedy,Paramount Pictures,23
829,What About Bob?,1991-05-17,1991,5,137861776,63710000,Comedy,Walt Disney,23
830,Ready Player One,2018-03-29,2018,3,137690172,137690172,Adventure,Warner Bros.,25
831,The Other Guys,2010-08-06,2010,8,137654496,119219978,Comedy,Sony Pictures,25
832,The Crying Game,1992-11-25,1992,11,137604291,62546695,Drama,Miramax,23
833,Bad Boys,1995-04-07,1995,4,137482280,65647413,Action,Sony Pictures,24
834,G.I. Joe: Retaliation,2013-03-27,2013,3,137292137,122523060,Action,Paramount Pictures,25
835,"Legally Blonde 2: Red, White & Blonde",2003-07-02,2003,7,136935662,90639088,Comedy,MGM,25
836,Salt,2010-07-23,2010,7,136605397,118311368,Thriller/Suspense,Sony Pictures,25
837,Amadeus,1984-09-19,1984,9,136261559,51973029,Drama,Warner Bros.,23
838,Blade,1998-08-21,1998,8,136245726,70141876,Action,New Line,24
839,The Living Sea,1995-02-01,1995,2,135707580,64800000,Documentary,IMAX Films,24
840,Jackass 3D,2010-10-15,2010,10,135355761,117229692,Comedy,Paramount Pictures,25
841,Atlantis: The Lost Empire,2001-06-08,2001,6,135286333,84052762,Adventure,Walt Disney,25
842,Ghostbusters,2016-07-15,2016,7,135176148,128350574,Comedy,Sony Pictures,25
843,Horrible Bosses,2011-07-08,2011,7,135028529,117538559,Comedy,Warner Bros.,25
844,Caddyshack,1980-07-25,1980,7,134944307,39846344,Comedy,Warner Bros.,22
845,Friday the 13th,1980-05-09,1980,5,134633611,39754601,Horror,Paramount Pictures,22
846,Star Trek: Insurrection,1998-12-11,1998,12,134614744,70187658,Adventure,Paramount Pictures,24
847,Mystic River,2003-10-08,2003,10,134605151,90135191,Drama,Warner Bros.,25
848,Spy Kids 2: The Island of Lost Dreams,2002-08-07,2002,8,134590019,85846296,Adventure,Miramax/Dimension,25
849,Wonder,2017-11-17,2017,11,134320054,132422809,Drama,Lionsgate,25
850,Lost In Space,1998-04-03,1998,4,134256202,69117629,Adventure,New Line,24
851,Cloudy with a Chance of Meatballs 2,2013-09-27,2013,9,134221657,119793567,Adventure,Sony Pictures,25
852,Central Intelligence,2016-06-17,2016,6,134218076,127440871,Comedy,Warner Bros.,25
853,Green Lantern,2011-06-17,2011,6,133951664,116601172,Action,Warner Bros.,25
854,Sea of Love,1989-09-15,1989,9,133730946,58571513,Thriller/Suspense,Universal,23
855,It’s Complicated,2009-12-25,2009,12,133720342,112735375,Romantic Comedy,Universal,25
856,Dragnet,1987-06-26,1987,6,133707306,57387000,Comedy,Universal,23
857,The Legend of Tarzan,2016-07-01,2016,7,133377834,126643061,Adventure,Warner Bros.,25
858,Dante's Peak,1997-02-07,1997,2,133303423,67163857,Drama,Universal,24
859,Babe,1995-08-04,1995,8,133090532,63658910,Adventure,Universal,24
860,Evan Almighty,2007-06-22,2007,6,132796370,100289690,Comedy,Universal,25
861,The Good Dinosaur,2015-11-25,2015,11,132787169,123087120,Adventure,Walt Disney,25
862,Couples Retreat,2009-10-09,2009,10,132606809,109205660,Comedy,Universal,25
863,Space Station,2002-04-19,2002,4,132544542,93231060,Documentary,IMAX Films,25
864,Any Given Sunday,1999-12-22,1999,12,132378585,75530832,Drama,Warner Bros.,23
865,Flatliners,1990-08-10,1990,8,132350062,61308153,Thriller/Suspense,Sony Pictures,23
866,Transformers: The Last Knight,2017-06-21,2017,6,132200293,130168683,Action,Paramount Pictures,25
867,Misery,1990-11-30,1990,11,132109758,61158960,Thriller/Suspense,Sony Pictures,23
868,Scrooged,1988-11-23,1988,11,132076607,59450353,Comedy,Paramount Pictures,23
869,Deep Blue Sea,1999-07-28,1999,7,132073883,73648228,Action,Warner Bros.,23
870,Now You See Me,2013-05-31,2013,5,131914576,117723989,Thriller/Suspense,Lionsgate,25
871,Sully,2016-09-09,2016,9,131717636,125070033,Drama,Warner Bros.,25
872,A Perfect Murder,1998-06-05,1998,6,131421616,67658331,Thriller/Suspense,Warner Bros.,24
873,Pet Sematary,1989-04-21,1989,4,131214090,57469179,Horror,Paramount Pictures,23
874,Paranormal Activity,2009-09-25,2009,9,131081531,107918810,Horror,Paramount Pictures,25
875,The Wolf of Wall Street,2013-12-25,2013,12,130751357,116949183,Black Comedy,Paramount Pictures,25
876,Lee Daniels' The Butler,2013-08-16,2013,8,130689199,116632095,Drama,Weinstein Co.,25
877,Watchmen,2009-03-06,2009,3,130588570,107509799,Action,Warner Bros.,25
878,Tightrope,1984-08-17,1984,8,130413986,48100000,Thriller/Suspense,Warner Bros.,23
879,U-571,2000-04-21,2000,4,130288259,77086030,Action,Universal,24
880,Anaconda,1997-04-11,1997,4,130197387,65598907,Horror,Sony Pictures,24
881,Magic Mike,2012-06-29,2012,6,130151190,113721571,Comedy,Warner Bros.,25
882,Beaches,1988-12-21,1988,12,130092267,57041866,Drama,Walt Disney,23
883,The Mummy: Tomb of the Dragon Emperor,2008-08-01,2008,8,130041797,102491776,Adventure,Universal,25
884,The Natural,1984-05-11,1984,5,130012654,47951979,Drama,Sony/TriStar,23
885,The Bourne Legacy,2012-08-10,2012,8,129558694,113203870,Thriller/Suspense,Universal,25
886,Meet the Robinsons,2007-03-30,2007,3,129529059,97822171,Adventure,Walt Disney,25
887,Jimmy Neutron: Boy Genius,2001-12-21,2001,12,129497356,80936232,Adventure,Paramount Pictures,25
888,Beavis and Butt-Head Do America,1996-12-20,1996,12,129411376,63118386,Adventure,Paramount Pictures,24
889,Starsky & Hutch,2004-03-05,2004,3,129388729,88200225,Comedy,Warner Bros.,25
890,Far and Away,1992-05-22,1992,5,129260669,58883840,Drama,Universal,23
891,Along Came Polly,2004-01-16,2004,1,129202839,88073507,Romantic Comedy,Universal,25
892,A View to a Kill,1985-05-24,1985,5,129151468,50327960,Action,MGM,23
893,Journey to the Center of the Earth,2008-07-11,2008,7,129042731,101704370,Adventure,Warner Bros.,25
894,The Last Boy Scout,1991-12-13,1991,12,128957589,59509925,Action,Warner Bros.,23
895,Rugrats in Paris,2000-11-17,2000,11,128873212,76501438,Adventure,Paramount Pictures,24
896,Brother Bear,2003-10-24,2003,10,128834996,85336277,Adventure,Walt Disney,25
897,The Parent Trap,1998-07-29,1998,7,128799694,66308518,Adventure,Walt Disney,24
898,Honey I Blew Up the Kid,1992-07-17,1992,7,128774678,58662452,Adventure,Walt Disney,23
899,Eagle Eye,2008-09-26,2008,9,128706126,101440743,Thriller/Suspense,Paramount Pictures,25
900,HouseSitter,1992-06-12,1992,6,128419461,58500635,Comedy,Universal,23
901,Death Becomes Her,1992-07-31,1992,7,128248266,58422650,Comedy,Universal,23
902,Blade 2,2002-03-22,2002,3,128068234,81676888,Action,New Line,25
903,Demolition Man,1993-10-08,1993,10,127982136,58055768,Action,Warner Bros.,23
904,The Specialist,1994-10-07,1994,10,127914576,57362581,Action,Warner Bros.,23
905,Stand by Me,1986-08-08,1986,8,127821217,52287414,Drama,Sony Pictures,23
906,Ever After: A Cinderella Story,1998-07-31,1998,7,127624605,65705772,Drama,20th Century Fox,24
907,Valentine's Day,2010-02-12,2010,2,127569617,110485654,Romantic Comedy,Warner Bros.,25
908,Flightplan,2005-09-23,2005,9,127475620,89706988,Thriller/Suspense,Walt Disney,25
909,Step Brothers,2008-07-25,2008,7,127475027,100468793,Comedy,Sony Pictures,25
910,The Color of Money,1986-10-17,1986,10,127472267,52293000,Drama,Walt Disney,23
911,Snow Dogs,2002-01-18,2002,1,127243160,81150692,Adventure,Walt Disney,25
