,index,Title,Query_Title,Domestic Release Date,Year Released (Domestic),Month Released (Domestic),Infl. Adj. Dom. Box Office,Domestic Box Office,Genre,Theatrical Distributor,Total Oscars Awarded in Year,Awards,Metascore,IMDB,Rotten Tomatoes,Rated,Director,Runtime,Country
16,316,Doctor Seuss' The Lorax,THE LORAX,2012-03-02,2012,3,244951985,214030500,Adventure,Universal,25,4 wins & 8 nominations.,46,6.4,46/100,PG,"Chris Renaud, Kyle Balda(co-director)",86 min,"USA, France"
17,323,Crocodile Dundee 2,CROCODILE DUNDEE II,1988-05-25,1988,5,242282126,109306210,Adventure,Paramount Pictures,23,2 wins.,41,5.6,10%,PG,John Cornell,108 min,Australia
18,337,Interview with the Vampire: The Vampi…,INTERVIEW WITH THE VAMPIRE,1994-11-11,1994,11,234419276,105264608,Horror,Warner Bros.,23,Nominated for 2 Oscars. Another 24 wins & 34 nominations.,59,7.6,63%,R,Neil Jordan,123 min,USA
19,397,Night at the Museum: Battle of the Sm…,NIGHT AT THE MUSEUM BATTLE,2009-05-22,2009,5,215292039,177243721,Adventure,20th Century Fox,25,2 wins & 9 nominations.,42,6.0,45%,PG,Shawn Levy,105 min,"USA, Canada"
20,497,Spider-Man: Into The Spider-Verse 3D,SPIDER-MAN INTO THE SPIDER-VERSE,2018-12-14,2018,12,190173195,190173195,Adventure,Sony Pictures,25,Won 1 Oscar. Another 79 wins & 55 nominations.,87,8.4,97%,PG,"Bob Persichetti, Peter Ramsey, Rodney Rothman",117 min,USA
22,577,Pirates of the Caribbean: Dead Men Te…,DEAD MEN TELL NO TALES,2017-05-26,2017,5,175252095,172558876,Adventure,Walt Disney,25,1 win & 12 nominations.,39,6.6,30%,PG-13,"Joachim Rønning, Espen Sandberg",129 min,"USA, Australia, UK, Canada"
23,581,Fantastic Four: Rise of the Silver Su…,RISE OF THE SILVER SURFER,2007-06-15,2007,6,174681253,131921738,Action,20th Century Fox,25,2 wins & 14 nominations.,45,5.6,37%,PG,Tim Story,92 min,"USA, Germany, UK"
24,584,The Naked Gun: From the Files of Poli…,FROM THE FILES OF POLICE SQUAD,1988-12-02,1988,12,174519960,78041829,Comedy,Paramount Pictures,23,1 nomination.,76,7.6,87%,PG-13,David Zucker,85 min,USA
25,592,Lemony Snicket's A Series of Unfortun…,A SERIES OF UNFORTUNATE EVENTS,2004-12-17,2004,12,172925628,118627117,Adventure,Paramount Pictures,25,Won 1 Oscar. Another 9 wins & 28 nominations.,62,6.8,72%,PG,Brad Silberling,108 min,"Germany, USA"
26,631,Dodgeball: A True Underdog Story,DODGEBALL,2004-06-18,2004,6,167716029,114326736,Comedy,20th Century Fox,25,2 wins & 9 nominations.,55,6.7,70%,PG-13,Rawson Marshall Thurber,92 min,USA
27,636,Disney’s A Christmas Carol,A CHRISTMAS CAROL,2009-11-06,2009,11,167424190,137855863,Drama,Walt Disney,25,3 wins & 5 nominations.,55,6.8,52%,PG,Robert Zemeckis,96 min,USA
28,654,The X Files: Fight the Future,X-FILES,1998-06-19,1998,6,162966658,83898313,Action,20th Century Fox,24,7 wins & 11 nominations.,60,7.0,66%,PG-13,Rob Bowman,121 min,USA
29,678,Fantastic Beasts: The Crimes of Grind…,FANTASTIC BEASTS,2018-11-16,2018,11,159555902,159555901,Adventure,Warner Bros.,25,Won 1 Oscar. Another 14 wins & 53 nominations.,66,7.3,74%,PG-13,David Yates,132 min,"UK, USA"
30,688,I Now Pronounce You Chuck and Larry,I NOW PRONOUNCE YOU CHUCK & LARRY,2007-07-20,2007,7,158531582,119725280,Comedy,Universal,25,14 nominations.,37,5.9,15%,PG-13,Dennis Dugan,115 min,USA
31,711,3 Men and a Little Lady,THREE MEN AND A LITTLE LADY,1990-11-21,1990,11,154652645,71609321,Comedy,Walt Disney,23,1 win & 1 nomination.,51,5.4,38%,PG,Emile Ardolino,104 min,USA
33,802,Cheech & Chong's Next Movie,CHEECH AND CHONG'S NEXT MOVIE,1980-07-18,1980,7,141137923,41675194,Comedy,Universal,22,1 nomination.,66,6.1,66/100,R,Tommy Chong,99 min,USA
34,805,The Divergent Series: Insurgent,INSURGENT,2015-03-20,2015,3,140679872,130179072,Action,Lionsgate,25,3 wins & 17 nominations.,42,6.2,28%,PG-13,Robert Schwentke,119 min,USA
35,835,"Legally Blonde 2: Red, White & Blonde",LEGALLY BLONDE 2,2003-07-02,2003,7,136935662,90639088,Comedy,MGM,25,3 wins & 5 nominations.,47,4.8,37%,PG-13,Charles Herman-Wurmfeld,95 min,USA
37,848,Spy Kids 2: The Island of Lost Dreams,ISLAND OF LOST DREAMS,2002-08-07,2002,8,134590019,85846296,Adventure,Miramax/Dimension,25,3 wins & 3 nominations.,66,5.1,75%,PG,Robert Rodriguez,100 min,USA
38,902,Blade 2,BLADE II,2002-03-22,2002,3,128068234,81676888,Action,New Line,25,6 wins & 10 nominations.,52,6.7,57%,R,Guillermo del Toro,117 min,"Germany, USA"
39,920,Artificial Intelligence: AI,ARTIFICIAL INTELLIGENCE,2001-06-29,2001,6,126536752,78616689,Drama,Warner Bros.,25,Nominated for 2 Oscars. Another 17 wins & 68 nominations.,65,7.2,74%,PG-13,Steven Spielberg,146 min,"USA, UK"
40,927,The Hangover 3,THE HANGOVER PART III,2013-05-23,2013,5,125724796,112200072,Comedy,Warner Bros.,25,2 wins & 7 nominations.,30,5.8,20%,R,Todd Phillips,100 min,USA
41,935,SpongeBob SquarePants: The Movie,SPONGEBOB SQUAREPANTS MOVIE,2004-11-19,2004,11,125144234,85416609,Adventure,Paramount Pictures,25,1 win & 10 nominations.,66,7.1,68%,PG,"Stephen Hillenburg, Mark Osborne",87 min,USA
42,941,"Greystoke: The Legend of Tarzan, Lord…",GREYSTOKE,1984-03-30,1984,3,124449105,45900000,Adventure,Warner Bros.,23,Nominated for 3 Oscars. Another 3 wins & 13 nominations.,62,6.4,73%,PG,Hugh Hudson,135 min,"UK, USA"
43,966,Mouse Hunt,MOUSEHUNT,1997-12-19,1997,12,121922155,61894591,Adventure,Dreamworks SKG,24,2 wins & 2 nominations.,54,6.4,42%,PG,Gore Verbinski,98 min,USA
44,974,Cheech & Chong's Nice Dreams,NICE DREAMS,1981-06-05,1981,6,121248197,37000000,Comedy,Columbia,23,N/A,54,6.2,43%,R,Tommy Chong,88 min,USA
46,979,Mamma Mia: Here We Go Again!,MAMMA MIA! HERE WE GO AGAIN,2018-07-20,2018,7,120634935,120634935,Musical,Universal,25,12 nominations.,60,6.7,79%,PG-13,Ol Parker,114 min,"UK, USA, Japan"
47,981,Epic,EPIC,2013-05-24,2013,5,120479112,107518682,Adventure,20th Century Fox,25,2 wins & 3 nominations.,17,2.4,2%,PG-13,"Jason Friedberg, Aaron Seltzer",86 min,USA
48,1022,Fantasia 2000 (Theatrical Release),FANTASIA 2000,1999-12-31,1999,12,117890205,69610858,Musical,Walt Disney,23,4 wins & 7 nominations.,59,7.2,81%,G,"James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt",75 min,USA
50,1029,Ford v. Ferrari,FORD V FERRARI,2019-11-15,2019,11,117624357,117624357,Drama,20th Century Fox,25,Won 2 Oscars. Another 21 wins & 73 nominations.,81,8.1,92%,PG-13,James Mangold,152 min,USA
51,1057,Cowboys and Aliens,COWBOYS & ALIENS,2011-07-29,2011,7,115303603,100368560,Action,Universal,25,1 win & 17 nominations.,50,6.0,44%,PG-13,Jon Favreau,119 min,"USA, India"
52,1063,High School Musical 3: Senior Year,HIGH SCHOOL MUSICAL 3,2008-10-24,2008,10,114883841,90559416,Musical,Walt Disney,25,8 wins & 9 nominations.,57,4.8,64%,G,Kenny Ortega,112 min,USA
53,1065,Gnomeo and Juliet,GNOMEO & JULIET,2011-02-11,2011,2,114843056,99967670,Comedy,Walt Disney,25,Nominated for 1 Golden Globe. Another 1 win & 11 nominations.,53,5.9,56%,G,Kelly Asbury,84 min,"UK, USA, Canada"
54,1089,Friday the 13th Part 3,FRIDAY THE 13TH PART III,1982-08-13,1982,8,113689284,36690067,Horror,Paramount Pictures,23,2 nominations.,30,5.7,11%,R,Steve Miner,95 min,USA
55,1124,Garfield: The Movie,GARFIELD,2004-06-11,2004,6,110563551,75367693,Adventure,20th Century Fox,25,1 win & 1 nomination.,27,5.0,15%,PG,Peter Hewitt,80 min,USA
56,1132,La marche de l'empereur,MARCH OF THE PENGUINS,2005-06-24,2005,6,110055086,77437223,Documentary,Warner Independent,25,Won 1 Oscar. Another 21 wins & 15 nominations.,79,7.5,94%,G,Luc Jacquet,80 min,France
57,1138,A Nightmare on Elm Street 4: The Drea…,A NIGHTMARE ON ELM STREET 4 THE DREAM MASTER,1988-08-19,1988,8,109430595,49369899,Horror,New Line,23,2 wins & 9 nominations.,56,5.7,55%,R,Renny Harlin,93 min,USA
58,1142,The Divine Secrets of the Ya-Ya Siste…,DIVINE SECRETS OF THE YA-YA SISTERHOOD,2002-06-07,2002,6,109110734,69586544,Comedy,Warner Bros.,25,1 win & 7 nominations.,48,6.1,45%,PG-13,Callie Khouri,116 min,USA
59,1160,The Conjuring 2: The Enfield Poltergeist,THE CONJURING 2,2016-06-10,2016,6,107919283,102470008,Horror,Warner Bros.,25,4 wins & 13 nominations.,65,7.3,80%,R,James Wan,134 min,"Canada, USA, UK"
60,1171,Austin Powers: International Man of M…,AUSTIN POWERS INTERNATIONAL MAN OF MYSTERY,1997-05-02,1997,5,106946216,53883989,Comedy,New Line,24,3 wins & 8 nominations.,51,7.0,71%,PG-13,Jay Roach,89 min,USA
61,1173,Halloween: H2O,Halloween H20: 20 Years Later,1998-08-05,1998,8,106914760,55041738,Horror,Miramax,24,2 wins & 12 nominations.,52,5.8,52%,R,Steve Miner,86 min,USA
62,1184,Kill Bill: Volume 1,KILL BILL Vol. 1,2003-10-10,2003,10,105883416,70098138,Action,Miramax,25,Nominated for 1 Golden Globe. Another 28 wins & 102 nominations.,69,8.1,85%,R,Quentin Tarantino,111 min,"USA, Japan"
63,1201,Prince of Persia: Sands of Time,PRINCE OF PERSIA: THE SANDS OF TIME,2010-05-28,2010,5,104793487,90759676,Action,Walt Disney,25,1 win & 11 nominations.,50,6.6,37%,PG-13,Mike Newell,116 min,USA
64,1210,A Nightmare On Elm Street 3: Dream Wa…,A NIGHTMARE ON ELM STREET 3,1987-02-27,1987,2,104364770,44793222,Horror,New Line,23,1 win & 4 nominations.,49,6.6,74%,R,Chuck Russell,96 min,USA
65,1233,Percy Jackson & the Olympians: The Li…,PERCY JACKSON & THE OLYMPIANS,2010-02-12,2010,2,102494196,88768303,Adventure,20th Century Fox,25,11 nominations.,47,5.9,49%,PG,Chris Columbus,118 min,"UK, Canada, USA"
66,1251,Barnyard: The Original Party Animals,BARNYARD,2006-08-04,2006,8,101223916,72779000,Adventure,Paramount Pictures,25,3 nominations.,42,5.5,22%,PG,Steve Oedekerk,90 min,"USA, Germany, Netherlands"
67,1253,Disney Planes,PLANES,2013-08-09,2013,8,101165347,90282580,Adventure,Walt Disney,25,1 nomination.,72,7.6,91%,R,John Hughes,93 min,USA
68,1306,City Slickers II: The Legend of Curly…,CITY SLICKERS II,1994-06-10,1994,6,96996812,43440947,Comedy,Sony Pictures,23,2 nominations.,43,5.6,18%,PG-13,Paul Weiland,116 min,USA
69,1348,Don’t Breathe,DON'T BREATHE,2016-08-26,2016,8,93962408,89217875,Horror,Sony Pictures,25,7 wins & 21 nominations.,71,7.1,88%,R,Fede Alvarez,88 min,"USA, Hungary"
70,1354,John Wick: Chapter Two,JOHN WICK CHAPTER 2,2017-02-10,2017,2,93465530,92029184,Action,Lionsgate,25,4 wins & 6 nominations.,75,7.5,89%,R,Chad Stahelski,122 min,"USA, Italy, Hong Kong, Canada"
71,1390,Friday the 13th Part IV: The Final Ch…,FRIDAY THE 13TH: THE FINAL CHAPTER,1984-04-13,1984,4,89421373,32980880,Horror,Paramount Pictures,23,2 nominations.,33,6.0,23%,R,Joseph Zito,91 min,USA
73,1509,Can’t Buy Me Love,CAN'T BUY ME LOVE,1987-08-14,1987,8,73681097,31623833,Romantic Comedy,Walt Disney,23,1 win & 3 nominations.,36,6.8,48%,PG-13,Steve Rash,94 min,USA
74,1511,Tyler Perry’s A Madea Family Funeral,A MADEA FAMILY FUNERAL,2019-03-01,2019,3,73257045,73257045,Comedy,Lionsgate,25,7 nominations.,39,4.4,12%,PG-13,Tyler Perry,109 min,USA
76,1551,La Guerre du feu,QUEST FOR FIRE,1982-02-12,1982,2,64946192,20959585,Adventure,20th Century Fox,23,Won 1 Oscar. Another 10 wins & 7 nominations.,79,7.3,86%,R,Jean-Jacques Annaud,100 min,"Canada, France"
81,1593,Friday the 13th Part V: A New Beginning,FRIDAY THE 13TH A NEW BEGINNING,1985-03-22,1985,3,56277772,21930418,Horror,Paramount Pictures,23,2 nominations.,16,4.8,15%,R,Danny Steinmann,92 min,USA
82,1596,A Nightmare on Elm Street Part 2: Fre…,A NIGHTMARE ON ELM STREET 2 FREDDY'S REVENGE,1985-11-01,1985,11,54310987,21163999,Horror,New Line,23,1 nomination.,43,5.5,43%,R,Jack Sholder,87 min,USA
